POSTE;DATE;T;FF2;DD2;U;GLO
97413545;2011010701;21.9;1.0;90;;0
97413545;2011010702;21.5;1.0;;;0
97413545;2011010703;21.1;1.0;;;0
97413545;2011010704;21.2;1.0;100;;0
97413545;2011010705;21.4;1.0;;;0
97413545;2011010706;21.4;1.0;;;1
97413545;2011010707;23.9;0.0;;;30
97413545;2011010708;26.5;1.0;180;;131
97413545;2011010709;27.5;1.0;180;;213
97413545;2011010710;28.0;2.0;180;;292
97413545;2011010711;28.1;2.0;200;;329
97413545;2011010712;28.5;1.0;220;;387
97413545;2011010713;28.1;0.0;200;;333
97413545;2011010714;28.0;2.0;180;;134
97413545;2011010715;26.9;1.0;170;;88
97413545;2011010716;27.8;2.0;170;;126
97413545;2011010717;26.5;0.0;350;;73
97413545;2011010718;27.7;0.0;350;;86
97413545;2011010719;25.8;0.0;130;;30
97413545;2011010720;23.3;0.0;80;;0
97413545;2011010721;22.5;0.0;80;;0
97413545;2011010722;22.6;1.0;80;;0
97413545;2011010723;22.5;1.0;90;;0
97413545;2011010800;22.5;1.0;90;;0
97413545;2011010801;22.1;1.0;110;;0
97413545;2011010802;21.7;1.0;110;;0
97413545;2011010803;21.7;1.0;;;0
97413545;2011010804;22.0;1.0;;;0
97413545;2011010805;22.0;1.0;;;0
97413545;2011010806;22.4;1.0;100;;1
97413545;2011010807;23.6;0.0;90;;30
97413545;2011010808;28.6;0.0;0;;130
97413545;2011010809;29.7;0.0;0;;180
97413545;2011010810;28.5;2.0;140;;261
97413545;2011010811;28.0;0.0;330;;166
97413545;2011010812;25.3;2.0;130;;75
97413545;2011010813;24.7;1.0;;;79
97413545;2011010814;24.2;0.0;0;;61
97413545;2011010815;24.4;0.0;0;;53
97413545;2011010816;25.0;0.0;10;;43
97413545;2011010817;25.2;0.0;10;;45
97413545;2011010818;26.9;0.0;190;;70
97413545;2011010819;24.9;0.0;;;28
97413545;2011010820;23.7;1.0;;;1
97413545;2011010821;23.8;0.0;30;;0
97413545;2011010822;22.4;0.0;90;;0
97413545;2011010823;22.2;0.0;100;;0
97413545;2011010900;22.3;1.0;;;0
97413545;2011010901;21.9;0.0;90;;0
97413545;2011010902;21.8;1.0;;;0
97413545;2011010903;21.5;1.0;100;;0
97413545;2011010904;21.8;0.0;90;;0
97413545;2011010905;22.1;1.0;90;;0
97413545;2011010906;21.5;1.0;110;;1
97413545;2011010907;24.0;0.0;100;;32
97413545;2011010908;27.1;0.0;0;;128
97413545;2011010909;27.8;0.0;;;213
97413545;2011010910;26.0;0.0;240;;147
97413545;2011010911;27.8;1.0;230;;95
97413545;2011010912;27.1;1.0;120;;239
97413545;2011010913;28.6;3.0;170;;148
97413545;2011010914;29.1;4.0;160;;238
97413545;2011010915;30.5;4.0;150;;243
97413545;2011010916;29.5;4.0;150;;263
97413545;2011010917;30.1;4.0;150;;202
97413545;2011010918;28.9;3.0;140;;118
97413545;2011010919;26.5;0.0;250;;21
97413545;2011010920;24.9;0.0;50;;0
97413545;2011010921;24.1;0.0;80;;0
97413545;2011010922;23.3;1.0;100;;0
97413545;2011010923;23.3;1.0;;;0
97413545;2011011000;23.1;0.0;90;;0
97413545;2011011001;22.7;0.0;100;;0
97413545;2011011002;22.6;1.0;100;;0
97413545;2011011003;22.3;0.0;90;;0
97413545;2011011004;22.0;0.0;100;;0
97413545;2011011005;22.1;1.0;100;;0
97413545;2011011006;22.0;1.0;90;;0
97413545;2011011007;24.0;0.0;90;;30
97413545;2011011008;27.8;0.0;340;;123
97413545;2011011009;29.0;0.0;190;;206
97413545;2011011010;26.7;0.0;;;146
97413545;2011011011;27.4;2.0;190;;96
97413545;2011011012;28.3;2.0;190;;143
97413545;2011011013;29.4;3.0;160;;195
97413545;2011011014;29.9;3.0;170;;382
97413545;2011011015;30.1;3.0;160;;324
97413545;2011011016;29.9;4.0;150;;274
97413545;2011011017;28.9;4.0;150;;197
97413545;2011011018;28.1;3.0;140;;110
97413545;2011011019;26.4;3.0;;;30
97413545;2011011020;25.4;2.0;150;;0
97413545;2011011021;24.3;0.0;;;0
97413545;2011011022;23.6;0.0;100;;0
97413545;2011011023;23.3;0.0;90;;0
97413545;2011011100;22.9;1.0;100;;0
97413545;2011011101;23.2;1.0;;;0
97413545;2011011102;22.8;0.0;100;;0
97413545;2011011103;22.8;1.0;;;0
97413545;2011011104;22.2;0.0;90;;0
97413545;2011011105;22.2;0.0;100;;0
97413545;2011011106;22.6;0.0;100;;1
97413545;2011011107;25.0;0.0;100;;28
97413545;2011011108;28.7;0.0;0;;122
97413545;2011011109;28.4;0.0;220;;204
97413545;2011011110;27.3;0.0;220;;210
97413545;2011011111;27.1;0.0;350;;73
97413545;2011011112;33.0;0.0;340;;202
